"Speed","Dist"
1392,1280
1404,1320
1425,1360
1450,1460
1476,1580
1493,1730
1506,1760
1515,1820
1529,1900
1544,1970
1547,2000
1560,2050
1574,2090
1585,2160
1597,2210
1607,2260
1617,2300
1633,2370
1640,2520
1651,2590
1661,2670
1673,2780
1681,2850
1691,2940
1703,2980
1712,3000
1731,3060
1744,3110
1762,3140
1777,3200
1788,3240
1803,3280
1812,3300
1823,3320
1836,3380
1846,3450
1855,3490
1869,3570
1886,3620
1894,3650
1902,3690
1921,3720
1930,3800
1943,3860
1951,3900
1969,3950
1985,3960
2000,4060
2010,4130
